ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000000003	7105	TSPAN6	tetraspanin 6
ENSG00000000419	8813	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
ENSG00000000457	57147	SCYL3	SCY1 like pseudokinase 3
ENSG00000000460	55732	C1orf112	chromosome 1 open reading frame 112
ENSG00000000938	2268	FGR	FGR proto-oncogene, Src family tyrosine kinase
ENSG00000000971	3075	CFH	complement factor H
ENSG00000001036	2519	FUCA2	alpha-L-fucosidase 2
ENSG00000001084	2729	GCLC	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	4800	NFYA	nuclear transcription factor Y subunit alpha
ENSG00000001460	90529	STPG1	sperm tail PG-rich repeat containing 1
ENSG00000001461	57185	NIPAL3	NIPA like domain containing 3
ENSG00000001497	81887	LAS1L	LAS1 like ribosome biogenesis factor
ENSG00000001561	22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617	6405	SEMA3F	semaphorin 3F
ENSG00000001626	1080	CFTR	CF transmembrane conductance regulator
ENSG00000001629	54467	ANKIB1	ankyrin repeat and IBR domain containing 1
ENSG00000001630	1595	CYP51A1	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631	889	KRIT1	KRIT1 ankyrin repeat containing
ENSG00000002016	5893	RAD52	RAD52 homolog, DNA repair protein
ENSG00000002330	572	BAD	BCL2 associated agonist of cell death
ENSG00000002549	51056	LAP3	leucine aminopeptidase 3
ENSG00000002586	4267	CD99	CD99 molecule (Xg blood group)
ENSG00000002587	9957	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726	26	AOC1	amine oxidase copper containing 1
ENSG00000002746	23072	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
ENSG00000002822	8379	MAD1L1	mitotic arrest deficient 1 like 1
ENSG00000002834	3927	LASP1	LIM and SH3 protein 1
ENSG00000002919	29916	SNX11	sorting nexin 11
ENSG00000002933	55365	TMEM176A	transmembrane protein 176A
ENSG00000003056	4074	M6PR	mannose-6-phosphate receptor, cation dependent
ENSG00000003096	90293	KLHL13	kelch like family member 13
ENSG00000003147	3382	ICA1	islet cell autoantigen 1
ENSG00000003249	79007	DBNDD1	dysbindin domain containing 1
ENSG00000003393	57679	ALS2	alsin Rho guanine nucleotide exchange factor ALS2
